,carat,cut,color,clarity,depth,table,x,y,z,price
26913,2.02,Premium,G,SI2,61.3,56.0,8.22,8.16,5.02,16929
26914,2.13,Premium,G,SI2,60.7,60.0,8.37,8.27,5.05,16931
26915,2.53,Premium,J,SI2,62.6,57.0,8.77,8.67,5.46,16934
26917,1.93,Premium,H,VS1,60.5,60.0,7.98,8.06,4.85,16941
26918,2.04,Premium,I,SI1,62.2,57.0,8.14,8.07,5.04,16942
26919,2.02,Premium,G,SI2,60.1,59.0,8.21,8.29,4.96,16944
26922,2.28,Premium,H,SI2,61.9,61.0,8.42,8.32,5.18,16954
26926,2.01,Premium,H,SI1,58.5,58.0,8.3,8.25,4.84,16956
26927,2.07,Premium,E,SI1,61.2,58.0,8.24,8.19,5.03,16957
26928,1.73,Premium,G,VS2,61.6,58.0,7.74,7.71,4.76,16960
26929,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,16960
26932,3.0,Premium,I,SI2,60.7,59.0,9.3,9.14,5.6,16970
26934,1.73,Premium,F,VS2,61.2,58.0,7.76,7.69,4.73,16975
26935,2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,16985
26939,2.12,Premium,H,SI2,59.1,59.0,8.47,8.43,4.99,16992
26940,2.27,Premium,J,VS1,62.4,58.0,8.36,8.41,5.23,16994
26941,2.2,Premium,H,SI2,61.1,59.0,8.41,8.35,5.12,16996
26942,2.31,Premium,I,SI2,58.8,58.0,8.7,8.64,5.1,17000
26943,2.09,Premium,H,SI2,62.1,58.0,8.17,8.22,5.09,17001
26949,2.06,Premium,G,SI2,61.7,58.0,8.2,8.15,5.04,17012
26950,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,17014
26951,2.19,Premium,H,SI1,61.6,58.0,8.35,8.3,5.13,17016
26952,1.75,Premium,F,VS2,61.4,58.0,7.72,7.76,4.75,17017
26959,2.04,Premium,I,VS2,62.5,58.0,8.22,8.09,5.1,17028
26962,2.14,Premium,I,VS2,60.7,59.0,8.28,8.33,5.04,17038
26964,1.71,Premium,G,VS1,62.3,58.0,7.61,7.65,4.75,17041
26966,2.13,Premium,F,SI2,61.5,58.0,8.28,8.33,5.11,17045
26974,2.32,Premium,J,VS2,62.4,57.0,8.48,8.4,5.27,17053
26976,2.01,Premium,G,VS2,60.6,59.0,8.16,8.12,4.93,17057
26980,2.05,Premium,E,SI2,58.6,59.0,8.43,8.36,4.92,17066
26983,2.01,Premium,I,VS1,62.9,62.0,8.02,7.98,5.03,17068
26985,2.01,Premium,H,VS2,60.1,61.0,8.14,8.06,4.87,17068
26987,2.13,Premium,H,SI2,62.3,57.0,8.24,8.16,5.11,17073
26991,2.05,Premium,E,SI2,59.7,59.0,8.27,8.39,4.97,17081
26996,1.93,Premium,H,VS1,60.5,60.0,8.06,7.98,4.85,17096
26997,2.02,Premium,G,SI2,60.1,59.0,8.29,8.21,4.96,17099
27005,2.57,Premium,E,SI2,61.3,60.0,8.82,8.73,5.38,17116
27010,2.14,Premium,D,SI2,59.8,59.0,8.4,8.36,5.01,17127
27011,2.0,Premium,G,SI2,60.4,61.0,8.21,8.12,4.93,17136
27016,2.71,Premium,E,SI2,60.4,59.0,9.13,9.03,5.48,17146
27017,2.27,Premium,J,VS1,62.4,58.0,8.41,8.36,5.23,17149
27020,2.02,Premium,I,VS1,61.2,59.0,8.13,8.05,4.95,17153
27021,2.09,Premium,H,SI2,62.1,58.0,8.22,8.17,5.09,17156
27025,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,17166
27026,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27027,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27028,1.75,Premium,F,VS2,61.4,58.0,7.76,7.72,4.75,17172
27029,2.0,Premium,F,SI1,58.8,61.0,8.29,8.23,4.86,17172
27062,2.01,Premium,E,SI2,58.9,60.0,8.24,8.2,4.84,17179
27063,2.01,Premium,E,SI2,62.0,61.0,8.1,8.04,5.0,17179
27066,2.56,Premium,J,SI1,61.4,58.0,8.76,8.73,5.37,17186
27067,2.01,Premium,H,VS2,61.6,61.0,8.14,8.07,4.99,17191
27068,1.75,Premium,G,VS1,59.6,60.0,7.9,7.76,4.67,17191
27071,2.14,Premium,I,VS2,60.7,59.0,8.33,8.28,5.04,17193
27074,1.71,Premium,G,VS1,62.3,58.0,7.65,7.61,4.75,17197
27077,1.6,Premium,G,VVS1,61.5,58.0,7.48,7.58,4.63,17204
27080,2.6,Premium,J,SI2,58.3,61.0,9.05,8.94,5.24,17209
27085,2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218
27089,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,17221
27093,1.7,Premium,G,VVS2,61.5,60.0,7.64,7.59,4.68,17228
27095,2.25,Premium,H,SI1,61.5,61.0,8.47,8.41,5.19,17233
27096,2.01,Premium,D,SI2,61.8,59.0,8.15,8.07,5.01,17235
27097,2.01,Premium,H,SI1,62.3,58.0,8.04,7.99,4.99,17235
27098,2.05,Premium,E,SI2,59.7,59.0,8.39,8.27,4.97,17237
27104,2.12,Premium,I,VS2,61.5,58.0,8.3,8.26,5.09,17254
27106,2.08,Premium,H,VS2,62.0,58.0,8.19,8.1,5.05,17258
27107,2.42,Premium,I,VS1,59.8,59.0,8.8,8.78,5.26,17262
27111,2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,17265
27112,2.2,Premium,H,SI1,61.2,59.0,8.42,8.37,0.0,17265
27115,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,17278
27117,2.05,Premium,E,SI2,62.5,56.0,8.17,8.08,5.08,17294
27118,2.35,Premium,I,SI2,59.9,58.0,8.68,8.61,5.18,17294
27119,2.35,Premium,I,SI2,61.1,58.0,8.63,8.56,5.25,17294
27123,2.16,Premium,I,SI1,62.9,55.0,8.28,8.2,5.18,17313
27128,1.7,Premium,E,VS2,62.9,58.0,7.57,7.54,4.75,17323
27133,2.01,Premium,G,SI1,62.5,58.0,7.98,8.08,5.02,17334
27137,2.01,Premium,H,SI1,61.8,58.0,8.13,8.06,5.0,17347
27140,1.93,Premium,H,VS2,62.8,58.0,7.91,7.86,4.95,17353
27142,1.79,Premium,G,VS2,61.2,58.0,7.9,7.82,4.81,17358
27143,1.6,Premium,G,VVS1,61.5,58.0,7.58,7.48,4.63,17360
27150,2.04,Premium,E,SI2,58.3,58.0,8.35,8.31,4.86,17379
27155,2.03,Premium,G,SI2,60.1,60.0,8.27,8.2,4.95,17393
27158,2.01,Premium,G,SI2,60.1,60.0,8.25,8.18,4.94,17403
27166,2.14,Premium,I,VS2,62.3,58.0,8.22,8.16,5.1,17416
27169,2.01,Premium,I,VS2,61.1,60.0,8.06,8.12,4.94,17433
27172,2.0,Premium,I,VS1,61.1,58.0,8.11,8.08,4.95,17436
27178,2.31,Premium,J,VS1,62.3,61.0,8.55,8.43,5.29,17451
27179,2.51,Premium,J,SI1,59.6,60.0,8.84,8.79,5.25,17452
27181,2.01,Premium,H,SI1,59.6,59.0,8.27,8.19,4.9,17458
27186,2.18,Premium,H,SI2,59.1,60.0,8.49,8.45,5.01,17473
27187,2.01,Premium,I,SI1,60.2,59.0,8.18,8.12,4.91,17474
27191,2.02,Premium,H,SI1,61.1,60.0,8.19,8.11,4.98,17489
27192,1.7,Premium,G,VS1,61.2,57.0,7.73,7.64,4.7,17492
27199,2.14,Premium,G,SI2,60.4,59.0,8.32,8.38,5.04,17513
27203,2.05,Premium,H,SI1,60.2,58.0,8.25,8.22,4.96,17521
27204,2.52,Premium,H,SI2,62.4,57.0,8.72,8.66,5.43,17522
27206,2.21,Premium,G,SI2,62.4,60.0,8.34,8.29,5.19,17525
27211,1.97,Premium,H,VS2,62.9,59.0,8.01,7.9,5.0,17535
27212,2.29,Premium,H,VS2,61.6,60.0,8.45,8.43,5.2,17539
27217,2.19,Premium,H,SI2,61.7,58.0,8.38,8.28,5.14,17554
27222,2.0,Premium,I,VS2,62.5,57.0,8.01,7.92,4.98,17574
27223,2.02,Premium,G,SI1,61.8,58.0,8.16,8.1,4.94,17579
27227,2.53,Premium,H,SI2,59.6,59.0,8.9,8.82,5.29,17591
27228,2.01,Premium,I,VS2,61.1,60.0,8.12,8.06,4.94,17592
27235,1.72,Premium,G,VS1,59.4,60.0,7.82,7.86,4.66,17605
27236,2.1,Premium,J,VVS1,61.3,58.0,8.29,8.24,5.07,17606
27238,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17607
27241,1.74,Premium,G,VS2,61.0,58.0,7.77,7.75,4.73,17614
27243,2.08,Premium,H,SI1,62.6,59.0,8.1,8.13,5.08,17617
27244,2.2,Premium,H,SI2,62.7,58.0,8.33,8.27,5.2,17634
27245,2.05,Premium,I,VS1,60.6,60.0,8.21,8.18,4.97,17640
27246,2.39,Premium,I,VS1,61.2,60.0,8.63,8.6,5.27,17642
27248,2.06,Premium,G,SI2,62.7,58.0,8.12,8.09,5.08,17650
27253,2.29,Premium,H,SI2,62.5,58.0,8.43,8.37,5.25,17666
27256,2.28,Premium,I,SI1,61.6,58.0,8.43,8.46,5.2,17673
27257,2.14,Premium,G,SI2,60.4,59.0,8.38,8.32,5.04,17673
27258,2.0,Premium,D,SI2,61.6,59.0,8.09,8.2,5.02,17674
27263,2.01,Premium,H,SI1,62.7,59.0,8.03,8.08,5.05,17688
27266,2.02,Premium,G,SI1,62.8,60.0,8.02,7.96,5.02,17692
27271,2.21,Premium,I,SI1,61.1,59.0,8.42,8.37,5.13,17714
27273,2.0,Premium,I,VS2,61.8,56.0,8.11,8.04,4.99,17716
27279,2.14,Premium,F,SI2,58.2,61.0,8.5,8.45,4.93,17742
27280,2.01,Premium,F,SI2,61.3,61.0,8.02,7.96,4.9,17746
27287,2.0,Premium,E,SI2,62.2,56.0,8.14,8.06,5.04,17760
27292,2.0,Premium,H,SI1,62.6,56.0,8.01,7.96,5.0,17760
27294,1.72,Premium,G,VS1,59.4,60.0,7.86,7.82,4.66,17765
27295,1.71,Premium,F,VS2,61.4,60.0,7.72,7.62,4.71,17766
27298,2.05,Premium,D,SI1,60.4,58.0,8.26,8.16,4.96,17776
27299,2.08,Premium,H,SI1,62.6,59.0,8.13,8.1,5.08,17778
27304,2.03,Premium,F,SI1,61.3,59.0,8.15,8.22,5.02,17803
27306,2.09,Premium,H,SI2,60.6,59.0,8.27,8.22,5.0,17805
27309,2.11,Premium,G,SI1,61.6,59.0,8.24,8.19,5.06,17816
27312,2.02,Premium,E,SI2,59.8,58.0,8.2,8.16,4.89,17825
27313,2.01,Premium,I,VS2,60.3,58.0,8.22,8.16,4.94,17826
27315,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,17835
27318,2.09,Premium,F,SI2,61.7,59.0,8.21,8.23,5.07,17840
27319,2.18,Premium,G,SI2,61.9,60.0,8.24,8.29,5.12,17841
27320,2.01,Premium,H,SI1,62.7,59.0,8.08,8.03,5.05,17849
27322,2.01,Premium,H,SI1,61.1,60.0,8.15,8.11,4.97,17849
27323,2.01,Premium,H,SI1,61.3,59.0,8.16,8.08,4.98,17849
27335,2.16,Premium,J,VVS1,61.5,58.0,8.36,8.26,5.11,17891
27336,2.28,Premium,H,SI2,62.1,59.0,8.4,8.44,5.23,17892
27339,2.02,Premium,I,VS2,59.0,59.0,8.34,8.27,4.9,17893
27346,1.74,Premium,G,VS1,61.7,58.0,7.78,7.69,4.77,17904
27347,1.74,Premium,G,VS1,62.4,58.0,7.71,7.61,4.78,17904
27348,2.2,Premium,I,VS2,58.9,60.0,8.63,8.52,5.05,17905
27354,2.57,Premium,D,SI2,58.9,58.0,8.99,8.94,5.28,17924
27357,2.16,Premium,I,SI1,58.5,60.0,8.54,8.49,4.98,17934
27390,2.02,Premium,E,SI2,58.2,60.0,8.32,8.25,4.82,17938
27398,2.03,Premium,H,VS2,62.6,59.0,8.06,8.1,5.06,17975
27401,2.01,Premium,G,VS2,61.4,58.0,8.11,7.99,4.94,17987
27402,2.05,Premium,G,SI2,58.7,60.0,8.4,8.32,4.91,17988
27407,2.35,Premium,H,SI1,62.6,60.0,8.42,8.38,5.26,17999
27409,2.09,Premium,F,SI2,61.7,59.0,8.23,8.21,5.07,18002
27410,2.18,Premium,G,SI2,61.9,60.0,8.29,8.24,5.12,18003
27412,2.25,Premium,D,SI2,60.4,59.0,8.54,8.48,5.13,18007
27416,2.51,Premium,J,VS2,62.2,58.0,8.73,8.67,5.41,18020
27421,2.32,Premium,I,SI1,61.2,58.0,8.57,8.52,5.23,18026
27427,2.11,Premium,E,SI2,62.4,61.0,8.19,8.1,5.08,18034
27428,2.25,Premium,I,SI1,60.1,60.0,8.55,8.51,5.13,18034
27429,2.25,Premium,H,SI2,62.8,59.0,0.0,0.0,0.0,18034
27433,2.28,Premium,H,SI2,62.1,59.0,8.44,8.4,5.23,18055
27439,2.04,Premium,F,SI2,60.2,58.0,8.17,8.24,4.94,18066
27446,2.01,Premium,G,SI1,61.8,60.0,7.99,8.04,4.95,18077
27451,2.04,Premium,H,VS1,60.7,61.0,8.18,8.1,4.94,18104
27459,2.04,Premium,H,SI1,62.5,61.0,8.08,8.04,5.04,18115
27460,2.04,Premium,H,SI1,63.0,58.0,8.1,8.03,5.08,18115
27461,2.02,Premium,E,SI2,61.0,59.0,8.18,8.12,4.97,18117
27465,2.12,Premium,E,SI2,58.3,59.0,8.48,8.41,4.92,18120
27474,2.03,Premium,H,VS2,62.6,59.0,8.1,8.06,5.06,18139
27475,2.03,Premium,H,VS2,62.1,56.0,8.2,8.12,5.07,18139
27476,2.23,Premium,I,VS2,61.2,58.0,8.43,8.36,5.14,18149
27481,2.12,Premium,G,SI2,62.6,59.0,8.18,8.12,5.1,18164
27482,2.03,Premium,G,VS2,60.9,59.0,8.17,8.14,4.97,18166
27489,2.52,Premium,F,SI2,60.6,60.0,8.78,8.7,5.3,18179
27494,2.01,Premium,H,SI1,61.7,60.0,8.06,7.96,4.94,18188
27497,2.07,Premium,I,VS2,61.2,58.0,8.18,8.2,5.01,18193
27499,2.2,Premium,G,SI1,60.5,55.0,8.49,8.42,5.11,18193
27501,2.01,Premium,I,VS1,62.9,59.0,8.03,7.94,5.02,18206
27502,2.02,Premium,H,VS2,60.8,62.0,8.17,8.12,4.95,18207
27503,2.02,Premium,H,VS2,62.7,53.0,8.02,7.95,0.0,18207
27506,2.04,Premium,F,SI2,60.2,58.0,8.24,8.17,4.94,18231
27508,2.19,Premium,E,SI2,62.4,61.0,8.31,8.23,5.16,18232
27513,2.3,Premium,I,VS2,61.8,60.0,8.47,8.39,5.21,18239
27514,3.01,Premium,I,SI2,60.2,59.0,9.36,9.31,5.62,18242
27519,1.7,Premium,F,VS2,62.8,58.0,7.61,7.54,4.76,18251
27521,2.52,Premium,I,SI1,58.5,59.0,8.9,8.87,5.2,18252
27522,2.53,Premium,H,SI1,62.1,59.0,8.83,8.73,5.45,18254
27523,2.51,Premium,I,SI2,62.3,57.0,8.76,8.69,5.44,18255
27526,2.02,Premium,F,SI2,61.3,59.0,8.15,8.11,4.98,18274
27533,2.03,Premium,D,SI2,62.4,59.0,8.04,7.98,5.0,18286
27534,2.14,Premium,E,SI2,61.5,58.0,8.31,8.24,5.09,18291
27538,2.01,Premium,H,SI1,61.4,56.0,8.19,8.13,5.01,18295
27544,2.03,Premium,E,SI2,61.5,59.0,8.16,8.24,5.04,18310
27546,2.05,Premium,H,VS2,61.8,60.0,8.19,8.14,5.05,18318
27548,2.02,Premium,F,SI2,61.7,58.0,8.11,8.15,5.02,18320
27551,2.49,Premium,I,SI2,61.2,56.0,8.76,8.7,5.34,18325
27554,1.7,Premium,E,VS2,58.6,62.0,7.92,7.84,4.62,18342
27558,2.07,Premium,I,VS2,61.2,58.0,8.2,8.18,5.01,18359
27560,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,18364
27564,2.0,Premium,H,SI1,63.0,56.0,7.98,7.93,5.01,18371
27565,2.0,Premium,H,SI1,58.2,60.0,8.34,8.26,4.83,18371
27569,1.73,Premium,G,VVS2,62.6,55.0,7.76,7.66,4.83,18377
27575,1.7,Premium,F,VS1,58.5,60.0,7.83,7.76,4.56,18398
27579,1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,18419
27581,2.03,Premium,G,SI1,61.3,59.0,8.11,8.08,4.96,18423
27582,2.26,Premium,H,SI1,60.3,58.0,8.56,8.51,5.15,18426
27583,2.29,Premium,J,IF,61.4,60.0,8.45,8.49,5.2,18426
27584,2.0,Premium,E,SI2,61.8,56.0,8.12,8.05,5.0,18426
27588,1.7,Premium,F,VS1,60.6,58.0,7.68,7.71,4.66,18430
27590,2.22,Premium,I,SI1,59.9,59.0,8.46,8.41,5.05,18432
27592,2.06,Premium,G,SI1,61.5,58.0,8.2,8.15,5.03,18439
27596,2.09,Premium,H,VS2,62.2,58.0,8.17,8.12,5.06,18443
27598,2.5,Premium,I,SI2,59.0,60.0,8.76,8.89,5.21,18447
27599,2.08,Premium,I,VS2,58.9,61.0,8.36,8.35,4.92,18447
27608,2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,18477
27610,2.16,Premium,I,VS2,58.7,60.0,8.54,8.5,5.0,18481
27612,2.57,Premium,J,SI1,63.0,58.0,8.77,8.65,5.49,18485
27613,2.02,Premium,F,SI2,61.7,58.0,8.15,8.11,5.02,18487
27615,2.0,Premium,F,SI1,62.6,59.0,8.1,8.04,5.05,18493
27624,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,18522
27626,1.83,Premium,G,VS2,60.5,59.0,7.99,7.89,4.8,18525
27638,3.04,Premium,I,SI2,59.3,60.0,9.51,9.46,5.62,18559
27639,2.38,Premium,J,VS2,62.1,58.0,8.54,8.49,5.29,18559
27640,2.09,Premium,H,SI1,61.1,56.0,8.3,8.23,5.05,18559
27647,2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,18575
27650,2.29,Premium,J,IF,61.4,60.0,8.49,8.45,5.2,18594
27651,1.7,Premium,F,VS1,60.6,58.0,7.71,7.68,4.66,18598
27655,2.07,Premium,F,SI2,60.7,59.0,8.21,8.16,4.97,18611
27657,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,18615
27663,2.29,Premium,I,VS2,60.8,60.0,8.47,8.5,5.16,18653
27664,2.12,Premium,H,SI1,61.1,60.0,8.18,8.26,5.02,18656
27668,2.02,Premium,F,SI2,62.1,56.0,8.07,7.99,4.99,18678
27670,2.03,Premium,G,VS2,59.6,60.0,8.27,8.21,4.91,18680
27674,2.43,Premium,J,VS2,62.2,57.0,8.63,8.54,5.34,18692
27679,3.51,Premium,J,VS2,62.5,59.0,9.66,9.63,6.03,18701
27680,2.01,Premium,G,SI2,61.2,57.2,8.08,8.14,4.97,18705
27681,2.22,Premium,J,VS1,60.0,60.0,8.49,8.43,5.08,18706
27684,3.01,Premium,J,SI2,60.7,59.0,9.35,9.22,5.64,18710
27685,3.01,Premium,J,SI2,59.7,58.0,9.41,9.32,5.59,18710
27686,2.18,Premium,F,SI1,61.2,60.0,8.38,8.3,5.1,18717
27687,1.7,Premium,G,VVS2,59.8,59.0,7.7,7.75,4.62,18718
27689,1.72,Premium,G,VVS2,61.8,60.0,7.65,7.68,4.74,18730
27721,1.94,Premium,F,SI1,62.6,58.0,7.91,7.87,4.94,18735
27725,2.01,Premium,G,SI1,60.3,59.0,8.23,8.15,4.94,18741
27726,2.36,Premium,H,SI2,59.4,58.0,8.69,8.75,5.18,18745
27731,2.55,Premium,I,VS1,61.8,62.0,8.7,8.65,5.36,18766
27737,2.05,Premium,F,SI2,60.2,59.0,8.28,8.33,5.0,18784
27740,1.71,Premium,F,VS2,62.3,59.0,7.57,7.53,4.7,18791
27742,2.04,Premium,H,SI1,58.1,60.0,8.37,8.28,4.84,18795
27743,2.0,Premium,I,VS1,60.8,59.0,8.13,8.02,4.91,18795
27744,2.29,Premium,I,SI1,61.8,59.0,8.52,8.45,5.24,18797
27749,2.29,Premium,I,VS2,60.8,60.0,8.5,8.47,5.16,18823
